quarter_year,PRODUK DOMESTIK BRUTO,"1.  Pertanian, Peternakan, Kehutanan dan Perikanan",Tanaman Bahan Makanan,Tanaman Perkebunan,Peternakan dan Hasil Hasilnya,Kehutanan,Perikanan,2.  Pertambangan dan Penggalian,Minyak dan Gas Bumi,Tanpa Migas,Penggalian,3.  Industri Pengolahan,Migas,Industri Tanpa Migas,"4.  Listrik, Gas dan Air Minum",5.  Bangunan,"6.  Perdagangan, Hotel dan Restoran",Hotel,Restoran,7.  Pengangkutan dan Komunikasi,Pengangkutan,Komunikasi,"8.  Keuangan, Persewaan dan Jasa Perusahaan",Bank,Lembaga Keuangan Bukan Bank,Jasa Penunjang Keuangan,Sewa Bangunan,Jasa Perusahaan,9.  Jasa-Jasa,Pemerintahan Umum,Swasta
Q1_1990,"49.958,40","10.350,90","7.778,00","730,3","812,8","454,3","575,5","6.123,50","5.111,20","451,8","560,6","10.077,40","1.907,50",0,"340,7","2.630,20","8.240,80","313,4","1.329,40","3.138,90","2.793,20","345,6","3.946,70","1.559,10",435,"20,9","1.530,00","401,7","5.109,40","3.327,90","1.781,50"
Q2_1990,"51.681,60","10.571,40","7.058,50","1.336,70","876,9","623,6","675,7","6.362,90","5.279,10","477,3","606,5","10.131,00","1.694,20",0,"364,2","2.776,30","8.711,40","324,9","1.403,10","3.273,20","2.895,60","377,5","4.057,20","1.620,30","434,3","17,2","1.565,40","420,1","5.434,10","3.610,60","1.823,50"
Q3_1990,"54.864,60","11.169,40","6.344,80","2.408,90","943,8","755,9","715,9","6.575,50","5.369,20","563,6","642,7","11.417,00","1.770,20",0,"383,7","2.985,70","9.208,50","342,5","1.402,30","3.391,00","3.001,60","389,3","4.186,40","1.693,30","459,1","19,2","1.571,00","443,8","5.547,60","3.634,20","1.913,40"
Q4_1990,"54.361,60","8.838,80","4.565,80","1.332,80","992,7","1.158,20","789,4","6.572,10","5.202,40","664,6","705,2","11.943,70","1.923,80",0,400,"3.403,00","9.662,90","347,1","1.450,30","3.558,90","3.129,80","429,1","4.212,90","1.658,20","462,5","28,7","1.595,80","467,8","5.769,30","3.749,50","2.019,80"
Q1_1991,"58.937,20","11.293,20","8.040,70","864,1","1.046,10","585,4","756,9","7.632,50","6.382,40","585,1","665,1","12.353,20","2.326,50",0,434,"3.068,70","9.651,40","372,5","1.413,80","3.986,00","3.525,10",461,"5.012,80","1.926,80","453,4","25,4","2.058,70","548,6","5.505,40","3.534,50","1.970,80"
Q2_1991,"61.199,50","11.775,90","7.573,20","1.446,20","1.083,00","810,2","863,3","7.929,70","6.592,10","618,1","719,5","12.418,30","2.063,60",0,"464,3","3.239,10","10.202,90","386,2","1.492,30","4.157,60","3.654,20","503,5","5.156,00","2.002,50","452,5",21,"2.106,40","573,6","5.855,70","3.838,50","2.017,20"
Q3_1991,"65.067,00","12.521,50","6.417,20","3.110,80","1.123,10","970,2","900,1","8.197,10","6.704,70","729,8","762,6","13.982,80","2.157,70",0,"489,1","3.483,40","10.795,50","407,2","1.491,40","4.305,00","3.785,70","519,3","5.314,40","2.092,70","478,4","23,5","2.113,90",606,"5.978,20","3.861,40","2.116,80"
Q4_1991,"64.764,90","10.045,10","4.429,90","1.921,80","1.163,60","1.529,80","1.000,00","8.193,70","6.496,40","860,6","836,7","14.624,60","2.350,00",0,"510,2","3.970,30","11.330,90","412,6","1.542,50","4.519,80","3.947,70","572,1","5.352,20","2.049,30","481,9",35,"2.147,30","638,7","6.218,20","3.983,80","2.234,40"
Q1_1992,"66.641,00","12.914,90","9.021,30","956,5","1.236,60","758,1","942,4","7.259,40","5.712,40","757,1","789,9","14.630,10","2.452,70",0,"565,4","3.763,60","10.840,50","433,1","1.624,00","4.631,70","4.079,70",552,"5.762,50","2.331,80","471,8","29,1","2.151,30","778,5","6.272,80","4.040,50","2.232,30"
Q2_1992,"68.764,60","13.416,10","8.360,30","1.611,20","1.319,60","1.046,40","1.078,60","7.554,60","5.900,10","799,8","854,6","14.317,10","2.105,60",0,"604,8","3.972,50","11.459,40",449,"1.714,10","4.831,60","4.228,90","602,8","5.933,60","2.423,50","470,9",24,"2.201,10","814,1","6.674,80","4.389,20","2.285,60"
Q3_1992,"73.472,90","14.489,80","7.190,90","3.533,60","1.376,40","1.258,40","1.130,30","7.850,90","6.000,90","944,2","905,8","16.162,00","2.182,00",0,"636,9","4.272,10","12.122,10","473,4","1.713,10","4.999,80","4.378,10","621,8","6.126,20","2.532,70","497,8","26,9","2.209,00",860,"6.813,10","4.414,80","2.398,30"
Q4_1992,"73.516,40","11.924,80","5.133,20","2.202,20","1.407,10","1.930,20","1.252,20","7.921,70","5.814,40","1.113,50","993,8","16.906,30","2.364,20",0,"664,5","4.869,30","12.721,90","479,6","1.771,80","5.250,50","4.565,40",685,"6.171,80","2.480,10","501,5","39,9","2.243,90","906,5","7.085,60","4.554,70","2.531,00"
Q1_1993,"77.581,60","15.710,10","10.395,00","1.293,20","1.366,60","1.570,20","1.085,10","7.917,60","6.057,10",879,"981,5","15.697,30","2.592,80","13.104,50","734,9","5.093,20","12.773,50",502,"2.175,30","5.435,40","4.734,20","701,2","6.596,70","2.581,60","582,6","46,1","2.363,90","1.022,50","7.622,90","5.082,90","2.540,00"
Q2_1993,"80.430,70","15.152,30","8.923,00","2.172,00","1.500,20","1.189,70","1.367,30","7.921,90","6.068,00","848,1","1.005,80","16.511,80","2.330,10","14.181,70","818,3","5.207,60","13.740,80","520,1","2.250,80","5.818,10","4.996,60","821,5","6.615,90","2.572,90","580,7","23,4","2.413,40","1.025,50","8.644,00","5.996,90","2.647,10"
